ID,Group,Sex,GOL,BNL,BBH,XCB,XFB,ZYB,ASB,BPL,NLH,NLB,MAB,OBH,OBB,STB,FOL,UFHT
ANAT-001,MSU,U,173,95,131,124,110,135,111,94,52,25,61,36,37,106,38,79
ANAT-002,MSU,U,198,99,134,138,122,,116,102,51,32,,35,40,121,37,70
ANAT-004,MSU,U,167,94,134,127,105,117,103,90,46,21,60,33,36,106,35,61
ANAT-005,MSU,U,177,99,134,136,120,126,,95,52,21,60,37,43,,35,72
ANAT-006,MSU,U,167,91,121,126,109,121,106,83,46,22,58,36,40,108,36,58
ANAT-007,MSU,U,180,92,126,124,115,130,118,88,54,24,55,33,38,114,35,72
ANAT-008,MSU,U,,99,,,,123,112,96,56,25,66,37,38,,39,79
ANAT-009,MSU,U,171,93,121,121,101,119,97,94,43,25,,30,35,100,36,57
ANAT-010,MSU,U,172,101,139,126,112,,102,90,45,27,,31,38,109,40,58
ANAT-011,MSU,U,175,98,137,134,113,127,104,93,51,25,,34,39,114,39,66
ANAT-012,MSU,U,170,96,129,134,109,,98,90,48,26,,33,38,108,36,63
ANAT-013,MSU,U,178,99,125,,105,122,102,,55,29,,35,37,101,39,
ANAT-014,MSU,U,183,,,130,,,,,55,25,61,34,40,113,,72
ANAT-019,MSU,U,,96,,,,124,108,87,47,23,,32,40,,41,58
ANAT-020,MSU,U,,96,,,,125,104,90,49,26,,34,38,,38,62
